Provinsi;SMA;SMP;SD;UMP;Pengangguran
ACEH;70.07;90.92;98.33;3165031.00;5.40
SUMATERA UTARA;70.39;91.63;96.48;2499423.00;4.71
SUMATERA BARAT;67.11;87.12;93.26;2484041.00;5.25
RIAU;66.62;86.84;95.18;2888564.00;4.92
JAMBI;63.66;86.31;95.34;2630162.00;4.26
SUMATERA SELATAN;65.42;85.02;95.93;3043111.00;3.90
BENGKULU;62.73;87.68;95.16;2213604.00;3.08
LAMPUNG;57.59;86.66;97.69;2432002.00;4.26
KEP. BANGKA BELITUNG;56.74;81.91;96.05;3230024.00;3.35
KEP. RIAU;78.65;94.80;95.25;3005460.00;5.98
DKI JAKARTA;85.67;94.57;97.80;4276350.00;5.15
JAWA BARAT;63.56;88.17;97.76;1810351.00;7.71
JAWA TENGAH;55.82;89.00;97.20;1742015.00;4.20
DI YOGYAKARTA;87.99;92.36;96.43;1704608.00;3.38
JAWA TIMUR;63.53;89.98;96.81;1768777.00;3.60
BANTEN;64.24;86.70;96.03;2460997.00;7.99
BALI;74.88;93.21;96.66;2494000.00;1.25
NUSA TENGGARA BARAT;64.66;89.91;97.29;2183883.00;3.04
NUSA TENGGARA TIMUR;50.65;78.81;86.92;1950000.00;2.64
KALIMANTAN BARAT;55.23;80.88;91.79;2399699.00;4.47
KALIMANTAN TENGAH;60.77;84.83;95.45;2903145.00;3.33
KALIMANTAN SELATAN;63.05;82.48;94.10;2877449.00;3.67
KALIMANTAN TIMUR;71.63;92.40;95.84;2981379.00;6.72
KALIMANTAN UTARA;67.77;87.14;96.38;3000804.00;5.71
SULAWESI UTARA;73.79;86.69;95.58;3310723.00;5.34
SULAWESI TENGAH;57.68;82.79;95.05;2303711.00;2.93
SULAWESI SELATAN;66.22;85.08;96.13;3103800.00;5.70
SULAWESI TENGGARA;68.28;89.18;95.28;2552015.00;3.10
GORONTALO;55.35;80.10;91.90;2788826.00;3.29
SULAWESI BARAT;56.60;83.08;94.70;2678863.00;2.39
MALUKU;70.55;88.04;97.47;2604961.00;6.71
MALUKU UTARA;66.52;87.41;95.59;2721530.00;4.09
PAPUA BARAT;61.49;83.47;89.25;3134600.00;6.78
PAPUA;30.92;65.75;78.40;3516700.00;3.42
ACEH;69.96;89.50;98.60;2916810.00;5.48
SUMATERA UTARA;65.21;88.26;97.12;2303403.00;5.57
SUMATERA BARAT;60.32;84.07;91.25;2289220.00;5.38
RIAU;58.78;84.97;95.11;2662026.00;5.36
JAMBI;56.87;84.40;96.99;2423889.00;3.52
SUMATERA SELATAN;58.23;83.40;96.08;2804453.00;4.02
BENGKULU;61.47;85.13;93.33;2040407.00;2.41
LAMPUNG;54.87;84.08;96.05;2241270.00;3.95
KEP. BANGKA BELITUNG;53.84;77.96;92.80;2976706.00;3.32
KEP. RIAU;78.14;91.56;95.69;2769754.00;7.02
DKI JAKARTA;84.35;93.02;96.05;3940973.00;5.50
JAWA BARAT;57.46;85.53;97.92;1668373.00;7.78
JAWA TENGAH;49.79;85.47;96.61;1605396.00;4.19
DI YOGYAKARTA;84.54;92.34;94.92;1570923.00;2.89
JAWA TIMUR;57.74;86.21;96.30;1630059.00;3.77
BANTEN;56.94;87.40;96.26;2267990.00;7.55
BALI;64.52;93.33;98.34;2297969.00;1.22
NUSA TENGGARA BARAT;57.60;88.64;96.62;2012610.00;3.15
NUSA TENGGARA TIMUR;43.85;74.31;87.39;1795000.00;2.98
KALIMANTAN BARAT;49.29;72.78;88.23;2211500.00;4.06
KALIMANTAN TENGAH;50.01;81.01;94.66;2663435.00;3.21
KALIMANTAN SELATAN;59.52;82.77;91.85;2651782.00;3.41
KALIMANTAN TIMUR;64.74;86.98;96.07;2747561.00;6.65
KALIMANTAN UTARA;61.10;83.85;93.23;2765463.00;5.84
SULAWESI UTARA;67.58;85.67;95.97;3051076.00;5.17
SULAWESI TENGAH;52.00;82.23;93.56;2123040.00;3.46
SULAWESI SELATAN;60.97;83.74;95.18;2860382.00;5.10
SULAWESI TENGGARA;64.26;85.46;94.54;2351870.00;2.88
GORONTALO;50.87;80.60;89.04;2384020.00;3.25
SULAWESI BARAT;48.20;77.68;91.54;2381000.00;1.29
MALUKU;67.82;88.43;94.95;2400664.00;6.61
MALUKU UTARA;59.13;85.07;94.66;2508091.00;4.96
PAPUA BARAT;50.95;80.91;88.46;2934500.00;5.81
PAPUA;27.44;59.31;73.07;3240900.00;3.22
ACEH;70.68;87.15;96.75;2700000.00;6.54
SUMATERA UTARA;68.34;87.97;95.76;2132189.00;5.61
SUMATERA BARAT;65.34;82.59;90.54;2119067.00;5.68
RIAU;63.71;83.45;95.39;2464154.00;5.55
JAMBI;66.06;83.29;94.62;2243719.00;3.56
SUMATERA SELATAN;63.94;84.18;94.02;2595995.00;4.08
BENGKULU;58.86;86.34;93.20;1888741.00;2.63
LAMPUNG;54.89;85.09;95.39;2074673.00;4.32
KEP. BANGKA BELITUNG;55.01;79.70;92.04;2755444.00;3.59
KEP. RIAU;82.86;90.15;98.13;2563875.00;7.30
DKI JAKARTA;83.48;92.80;95.26;3648036.00;5.73
JAWA BARAT;61.04;85.18;97.08;1544361.00;8.22
JAWA TENGAH;55.62;86.90;96.15;1486065.00;4.19
DI YOGYAKARTA;81.96;92.66;95.12;1454154.00;3.00
JAWA TIMUR;62.48;86.04;95.70;1508895.00;3.77
BANTEN;67.54;85.21;95.35;2099385.00;7.72
BALI;78.67;93.78;96.40;2127157.00;0.88
NUSA TENGGARA BARAT;52.60;87.88;97.59;1825000.00;3.28
NUSA TENGGARA TIMUR;43.41;71.42;83.87;1660000.00;2.82
KALIMANTAN BARAT;47.66;71.47;86.44;2046900.00;4.09
KALIMANTAN TENGAH;53.47;79.87;93.33;2421305.00;3.14
KALIMANTAN SELATAN;61.09;84.05;92.20;2454671.00;3.72
KALIMANTAN TIMUR;68.73;89.14;95.32;2543332.00;6.79
KALIMANTAN UTARA;58.22;82.85;92.03;2559903.00;4.70
SULAWESI UTARA;70.02;86.72;95.48;2824286.00;5.86
SULAWESI TENGAH;53.84;78.61;91.44;1965232.00;3.12
SULAWESI SELATAN;56.86;83.32;94.05;2647767.00;5.04
SULAWESI TENGGARA;67.67;86.05;95.25;2177052.00;2.77
GORONTALO;52.39;77.41;88.24;2206813.00;3.38
SULAWESI BARAT;37.65;78.83;92.60;2193530.00;2.33
MALUKU;66.42;86.38;94.49;2222220.00;7.07
MALUKU UTARA;60.07;85.39;95.65;2320803.00;4.56
PAPUA BARAT;60.47;81.19;86.46;2667000.00;6.27
PAPUA;29.56;57.19;71.83;3000000.00;2.75
